,t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,Ar (интенс.),N2 (интенс.),эл. энергия (интенс.),произв жидкая сталь,расход газ Ar,расход газ  N2,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  ферванит,ферспл  фх850А,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Mn_1,химсталь первый N_1,химсталь первый Si_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Mn,химсталь последний N,химсталь последний Si,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
4019,34.0,47.0666667,21.0666667,46.7333333,2.0,0.455176,0.079794,0.082656,0.031563,0.087056,1605.0,11.7864734,12.8333688,12779.430379700001,107.9,12.199000000000002,6.709,0.0,0.05,0.501,0.08,0.02,0.013000000000000001,0.132,0.023365,0.14300000000000002,0.001,0.42200000000000004,0.217,0.7070000000000001,0.008,0.495,0.003,0.003,0.85,0.0002,0.298,0.792,0.017,0.529,0.083,3.0,55.5,0.5,10.5,0.08,2.6,21.0,4.0,54.8,0.5,7.7,0.08,2.4,23.1
4020,24.0,49.8666667,26.7,49.5166667,2.0,0.522416,0.099324,0.197461,0.154378,0.0920959,1561.0,11.1007243,11.250502800000001,12977.528089899999,115.3,12.772,5.593999999999999,0.376,0.05,0.5760000000000001,0.051,0.02,0.153,0.313,0.022823,0.17800000000000002,0.001,0.431,0.203,0.615,0.011000000000000001,0.40399999999999997,0.002,0.003,0.8490000000000001,0.0011,0.287,0.7909999999999999,0.017,0.53,0.08199999999999999,4.0,47.7,1.1,17.8,0.47,1.9,25.3,5.1,50.0,1.0,16.1,0.19,2.2,25.0
4021,29.0,55.0666667,29.55,54.7333333,3.4789357000000005,0.5504760000000001,0.118854,0.199205,0.11406500000000001,0.0941332,1559.0,8.7099222,13.572000000000001,12270.0507614,117.1,14.923,0.754,0.214,0.05,0.607,0.03,0.02,0.09,0.317,0.024306,0.213,0.001,0.379,0.193,0.62,0.011000000000000001,0.43700000000000006,0.002,0.003,0.871,0.0003,0.292,0.7929999999999999,0.016,0.537,0.08199999999999999,4.0,52.5,0.3,15.4,0.11,2.1,25.3,4.0,57.4,0.5,10.2,0.13,2.2,26.5
4022,29.0,42.533333299999995,23.0833333,42.3666667,3.5157762000000004,0.5222680000000001,0.071982,0.140371,0.093058,0.09164320000000001,1562.0,8.799859300000001,10.7225806,13225.126353799998,114.4,6.947,6.648,0.177,0.05,0.583,0.039,0.02,0.083,0.223,0.023076,0.129,0.001,0.42700000000000005,0.228,0.669,0.01,0.452,0.002,0.002,0.8370000000000001,0.0002,0.285,0.799,0.015,0.551,0.083,4.6,53.6,1.6,13.0,0.13,2.1,25.0,3.6,55.4,0.3,13.8,0.14,2.2,26.7
4023,35.0,45.3666667,23.533333300000002,45.0166667,3.5719361000000003,0.504796,0.085374,0.140227,0.085246,0.0936516,1547.0,15.009933800000002,17.0929134,12625.495750700002,116.7,15.11,8.442,0.08800000000000001,0.05,0.5589999999999999,0.04,0.02,0.071,0.223,0.023727,0.153,0.001,0.41100000000000003,0.217,0.659,0.009000000000000001,0.452,0.002,0.003,0.85,0.0008,0.289,0.782,0.015,0.53,0.08199999999999999,4.2,55.3,0.7,14.1,0.2,2.3,24.0,4.7,57.2,0.6,10.7,0.08,2.2,25.6
4024,40.0,45.8833333,17.033333300000002,45.5,3.0,0.51552,0.07533,0.167354,0.10644200000000001,0.09031180000000001,1589.0,14.2832061,15.7474286,11705.2837573,112.3,10.395,12.248,0.16899999999999998,0.05,0.573,0.051,0.02,0.092,0.266,0.022859,0.135,0.001,0.433,0.22399999999999998,0.643,0.01,0.445,0.002,0.003,0.8420000000000001,0.0007,0.28800000000000003,0.792,0.016,0.542,0.08199999999999999,3.5,52.9,0.6,16.8,0.2,2.1,25.2,3.7,55.1,0.3,13.5,0.16,2.2,25.7
4025,39.0,50.533333299999995,24.3666667,50.3833333,2.0,0.49113,0.10323,0.162787,0.094801,0.0932829,1545.0,10.289867800000001,12.373913,12715.7318741,116.3,7.7860000000000005,11.384,0.109,0.05,0.5379999999999999,0.040999999999999995,0.02,0.076,0.259,0.023872,0.185,0.002,0.43200000000000005,0.2,0.642,0.006999999999999999,0.44299999999999995,0.003,0.003,0.848,0.0002,0.298,0.7929999999999999,0.017,0.54,0.08199999999999999,4.0,57.2,0.5,14.9,0.2,2.3,25.3,3.8,55.0,1.0,12.6,0.21,2.2,25.8
4027,48.0,49.1833333,18.033333300000002,49.0166667,3.0,0.42136599999999996,0.068634,0.065167,0.060991,0.0905378,1565.0,14.8964706,11.4475649,12643.253234799999,112.6,12.662,8.945,0.0,0.05,0.462,0.064,0.02,0.066,0.10300000000000001,0.02351,0.12300000000000001,0.002,0.46299999999999997,0.22899999999999998,0.726,0.009000000000000001,0.47100000000000003,0.003,0.003,0.87,0.0002,0.28800000000000003,0.785,0.013000000000000001,0.535,0.083,4.6,51.4,0.9,8.6,0.08,2.5,20.5,4.6,51.4,0.9,8.6,0.08,2.5,20.5
4028,54.0,44.533333299999995,19.466666699999998,44.3666667,2.0,0.500996,0.077004,0.08545499999999999,0.082215,0.0935584,1556.0,13.372127800000001,14.6040302,13527.739726,115.8,10.927999999999999,9.663,0.068,0.05,0.5579999999999999,0.052000000000000005,0.02,0.09,0.135,0.024306,0.138,0.001,0.43700000000000006,0.22399999999999998,0.71,0.009000000000000001,0.46399999999999997,0.003,0.003,0.847,0.0002,0.285,0.79,0.015,0.541,0.084,5.0,56.7,0.4,13.1,0.09,2.2,25.4,4.8,55.1,0.5,12.0,0.09,2.2,24.9
4029,36.0,46.6833333,20.1333333,46.5166667,2.6474919,0.46436400000000005,0.08760599999999999,0.13231800000000002,0.094689,0.09037569999999999,1569.0,11.6314465,12.5417647,11908.6092715,111.4,9.247,9.476,0.08199999999999999,0.05,0.509,0.040999999999999995,0.02,0.08900000000000001,0.21,0.023799,0.157,0.001,0.451,0.21,0.664,0.01,0.44799999999999995,0.002,0.002,0.848,0.0001,0.289,0.794,0.013999999999999999,0.542,0.08199999999999999,3.6,52.3,1.1,16.6,0.5,2.1,25.2,3.6,55.6,0.3,13.8,0.15,2.2,26.2
4030,27.0,46.2,16.4833333,46.033333299999995,2.0,0.413546,0.074214,0.049456,0.119413,0.0932779,1573.0,10.1910871,12.026918499999999,12700.1011122,116.2,8.385,8.488999999999999,0.054000000000000006,0.05,0.452,0.064,0.02,0.163,0.076,0.023727,0.133,0.002,0.5,0.226,0.741,0.01,0.435,0.005,0.003,0.845,0.0003,0.289,0.7829999999999999,0.015,0.539,0.085,4.1,53.1,0.5,16.7,0.29,2.2,24.5,4.6,53.6,0.9,12.0,0.1,2.2,26.6
